id	label of real fact	text description	evidence in source	evidence in tgt	label in clinical prediction	label in real clinical	Clinical predicted fact(label in clinical prediction &label in real clinical )	label of real fact	result
22	negative	conflict	The sensitivity , specificity , positive predictive value -LRB- PPV -RRB- , and negative predictive value of ROSE for core biopsies were 65 , 100 , 100 , and 39 % , respectively . 	The sensitivity , specificity , and accuracy in combined cytologic and histologic results were 85 % , 100 % , and 86 % on passes 1 , 2 , and 3 , respectively -RRB-	negative	negative	positive	negative	0
23	positive	none	none	none	negative	negative	positive	positive	1
24	positive	none	none	none	negative	negative	positive	positive	1
25	positive	none	none	none	negative	negative	positive	positive	1
26	negative	conflict	There were 10 cerebral infarctions and 1 intracerebral hematoma in the standard-care group	There were 10 to these patients had recurrent stroke 2 or more years after the initial event 	negative	positive	negative	negative	1
27	positive	none			negative	positive	negative	positive	0
28	negative	conflict	Median progression-free survival was 6.4 months 	Median time to progression was 5.4 months	positive	negative	negative	negative	1
29	negative	conflict	however , it is not possible to draw conclusions about response rates , because of the very small sample size .  	 however , it is not possible to draw conclusions about response rates , because of the very small daily dose size response after 3 , 6 , 9 , and 12 months . 	negative	negative	positive	negative	0
30	positive	none			negative	negative	positive	positive	1
31	negative	conflict	, four people had a lip biopsy score of greater than or equal to 2 +	Another four had an LSG biopsy score of 1 +	negative	positive	negative	negative	1
32	negative	none			positive	negative	negative	positive	0
33	negative	conflict	79 % were pump-treated 	 79 % , with diabetes for 9.4 ± 4.9 years ,	negative	positive	negative	negative	1
34	positive	none			negative	negative	positive	positive	1
35	positive	none			negative	negative	positive	positive	1
36	positive	none			positive	negative	negative	positive	0
37	negative	none			negative	positive	negative	positive	0
38	positive	none			positive	positive	positive	positive	1
39	positive	none			negative	negative	positive	positive	1
40	positive	none			positive	positive	positive	positive	1
41	negative	none			positive	negative	negative	positive	0
42	positive	none			negative	negative	positive	positive	1
43	positive	none			negative	negative	positive	positive	1
44	negative		 Little difference was found between the 15/12 and 15/5 P-ointment groups	The PR of the PR was significantly higher in the patients treated with 15 % of patients with Mali -LRB- P < 0.001 -RRB- , whereas a significant reduction in the PR group -LRB- P = 0.01 -RRB- .	negative	positive	negative	negative	1
45	positive	none			negative	negative	positive	positive	1
46	negative	conflict	1 factor , 17 % and 22 %	1 % and 15 %	negative	positive	negative	negative	1
47	negative		 a less costly and less nursing-intensive therapy than 3 days of IV insulin postoperatively , results in a reduction of the increased surgical morbidity and mortality in diabetic patients after CT surgery .	 with a overall costly and less nursing-intensive therapy than 3 days of IV insulin postoperatively	negative	positive	negative	negative	1
48	positive	none			negative	negative	positive	positive	1
49	positive	none			negative	negative	positive	positive	1
50	positive	none			negative	negative	positive	positive	1
					positive	positive	positive		
					positive	negative	negative		
					positive	negative	negative		
					negative	positive	negative		
					negative	negative	positive		
					positive	negative	negative		
					positive	negative	negative		
					negative	negative	positive		
					negative	negative	positive		
					negative	negative	positive		
					positive	positive	positive		
					negative	negative	positive		
					negative	positive	negative		
					negative	positive	negative		
					negative	positive	negative		
					positive	negative	negative		
					negative	positive	negative		
					positive	negative	negative		
					positive	negative	negative		
					negative	positive	negative		
					negative	positive	negative		
					negative	positive	negative		
					negative	negative	positive		
					positive	negative	negative		
					negative	positive	negative		
					negative	negative	positive		
					negative	positive	negative		
					positive	negative	negative		
					negative	positive	negative		
					negative	positive	negative		
					negative	positive	negative		
					positive	positive	positive		
					negative	positive	negative		
					positive	negative	negative		
					negative	negative	positive		
					positive	negative	negative		
					negative	positive	negative		
					positive	negative	negative		
					positive	positive	positive		
					negative	positive	negative		
					positive	positive	positive		
					positive	negative	negative		
					negative	negative	positive		
					negative	positive	negative		
					positive	negative	negative		
					positive	positive	positive		
					negative	negative	positive		
					positive	negative	negative		
					positive	negative	negative		
					negative	negative	positive		
					negative	positive	negative		
					positive	negative	negative		
					negative	negative	positive		
					negative	positive	negative		
					negative	negative	positive		
					negative	negative	positive		
					positive	positive	positive		
					positive	negative	negative		
					negative	positive	negative		
					positive	negative	negative		
					positive	negative	negative		
					positive	positive	positive		
					positive	negative	negative		
					positive	positive	positive		
					negative	positive	negative		
					positive	negative	negative		
					positive	positive	positive		
					positive	negative	negative		
					negative	negative	positive		
					negative	positive	negative		
					negative	positive	negative		
					positive	positive	positive		
					negative	negative	positive		
					negative	negative	positive		
					negative	positive	negative		
					positive	negative	negative		
					negative	positive	negative		
					positive	positive	positive		
					positive	negative	negative		
					positive	negative	negative		
					negative	positive	negative		
					positive	positive	positive		
					positive	negative	negative		
						negative	positive		
						negative	positive		
						negative	positive		
						positive	positive		
						negative	positive		
						positive	negative		
						positive	negative		
						positive	negative		
						positive	negative		
						negative	negative		
						positive	positive		
						positive	negative		
						positive	positive		
						negative	negative		
						positive	positive		
						negative	negative		
						positive	negative		
						negative	positive		
							positive		
							negative		
							positive		
							positive		
							negative		
							positive		
							positive		
							negative		
							positive		
							negative		
							positive		
							positive		
							positive		
							positive		
							positive		
							positive		
							positive		
							positive		
							positive		
							negative		
							positive		
							positive		
							negative		
							negative		
							positive		
							negative		
							positive		
							positive		
							positive		
							positive		
							negative		
							positive		
							positive		
							positive		
							negative		
							positive		
							negative		
							negative		
							negative		
							negative		
							positive		
							negative		
							negative		
							negative		
							negative		
							negative		
							negative		
							positive		
							negative		
							negative		
							positive		
							positive		
							negative		
							negative		
							positive		
							positive		
							positive		
							negative		
							positive		
							positive		
							positive		
							negative		
							positive		
							positive		
							positive		
							negative		
							negative		
							negative		
							negative		
							positive		
							positive		
							negative		
							positive		
							positive		
							positive		
							negative		
							negative		
							negative		
							negative		
							negative		
							positive		
							negative		
							positive		
							positive		
							negative		
							positive		
							negative		
							positive		
							positive		
							positive		
							positive		
							negative		
							negative		
							negative		
							positive		
							positive		
							positive		
							positive		
							negative		
							positive		
							negative		
							positive		
							negative		
							negative		
							positive		
							negative		
							negative		
							positive		
							positive		
							negative		
							positive		
							negative		
							negative		
							positive		
							negative		
							negative		
							positive		
							negative		
							negative		
							negative		
							positive		
							negative		
							positive		
							negative		
							negative		
							negative		
							negative		
							negative		
							positive		
							positive		
							negative		
							negative		
							positive		
							positive		
							negative		
							negative		
							positive		
							negative		
							negative		
							negative		
							negative		
							positive		
							positive		
							positive		
							positive		
							negative		
							positive		
							positive		
							negative		
							negative		
							positive		
							negative		
							negative		
							negative		
							positive		
							negative		
							positive		
							negative		
							positive		
							negative		
							positive		
							negative		
							positive		
							positive		
							negative		
							positive		
							positive		
							positive		
							negative		
							negative		
							positive		
							positive		
							positive		
							negative		
							positive		
							positive		
							negative		
							positive		
							negative		
							positive		
							negative		
							positive		
							positive		
							negative		
							positive		
							negative		
							negative		
							negative		
							negative		
							negative		
							negative		
							negative		
							negative		
							negative		
							negative		
							negative		
							positive		
							negative		
							positive		
							positive		
							negative		
							negative		
							positive		
							negative		
							positive		
							positive		
							positive		
							negative		
							negative		
							negative		
							negative		
							positive		
							positive		
							negative		
							positive		
							negative		
							positive		
							positive		
							positive		
							positive		
							positive		
							negative		
							positive		
							positive		
							negative		
							positive		
							positive		
							positive		
							positive		
							negative		
							negative		
							positive		
							negative		
							negative		
							positive		
							negative		
							negative		
							positive		
							positive		
							positive		
							positive		
							negative		
							positive		
							negative		
							negative		
							negative		
							positive		
							positive		
							positive		
							positive		
							negative		
							negative		
							negative		
							negative		
							positive		
							positive		
							positive		
							negative		
							positive		
							positive		
							positive		
							positive		
							negative		
							negative		
							positive		
							negative		
							positive		
							negative		
							negative		
							negative		
							negative		
							positive		
							positive		
							negative		
							positive		
							positive		
							negative		
							negative		
							negative		
							negative		
							negative		
							positive		
							positive		
							positive		
							positive		
							positive		
							negative		
							negative		
							positive		
							positive		
							positive		
							negative		
							negative		
							negative		
							negative		
							negative		
							negative		
							positive		
							positive		
							positive		
							negative		
							positive		
							positive		
							negative		
							positive		
							negative		
							positive		
							negative		
							positive		
							positive		
							positive		
							negative		
							negative		
							negative		
							positive		
							negative		
							negative		
							positive		
							negative		
							positive		
							negative		
							positive		
							negative		
							negative		
							positive		
							positive		
							negative		
							positive		
							negative		
							positive		
							negative		
							negative		
							positive		
							positive		
							negative		
							negative		
							negative		
							positive		
							positive		
							positive		
							positive		
							positive		
							positive		
							positive		
							negative		
							positive		
							negative		
							positive		
							positive		
							positive		
							positive		
							positive		
							negative		
							positive		
							negative		
							negative		
							negative		
							negative		
							positive		
							negative		
							negative		
							negative		
							negative		
							positive		
							negative		
							positive		
							positive		
							negative		
							negative		
							negative		
							negative		
							negative		
							negative		
							positive		
							positive		
							positive		
							positive		
							negative		
							positive		
							positive		
							negative		
							positive		
							negative		
							negative		
							positive		
							positive		
							negative		
							positive		
							negative		
							negative		
							positive		
							positive		
							positive		
							positive		
							negative		
							positive		
							positive		
							negative		
							negative		
